"id","name","kapazitaet","gebaeude","adresse"
"DA04A05","Labor DA04A05","4","DA - Freihausgebäude","Wiedner Hauptstraße 8-10,"
"BD U1 D42","Labor Fördertechnik","5","BE - Lückenbau","Gumpendorfer Straße 7, erstes Untergeschoss"
"BFEGG12","Labor Mechanische Prüfung","7","BF - Institutsgebäude","Getreidemarkt 9,"
"HAEG09","Labor Mechanische Prüfung I","6","HA - Institutsgebäude","Favoritenstraße 9-11,"
"CH0213","Labor Technische Elektronik (LVA 362.132)","18","CH - ZMNS","Gußhausstraße 25-25a,"
"BF02G20","Labor Thermische Analyse I","7","BF - Institutsgebäude","Getreidemarkt 9,"
"HAEG11","Labor WM","7","HA - Institutsgebäude","Favoritenstraße 9-11,"
"HAEG16","Labor WM1","8","HA - Institutsgebäude","Favoritenstraße 9-11,"
"CF0426","Labor Übungsraum E370","36","CF - Haupttrakt","Gußhausstraße 25-25a, 4. Stock"
"BB01C15","Laborraum BB01C15","3","BB - Eckbau","Getreidemarkt 9,"
"BB01C19","Laborraum BB01C19","3","BB - Eckbau","Getreidemarkt 9,"
"BB01C23","Laborraum BB01C23","3","BB - Eckbau","Getreidemarkt 9,"
"BB02G02","Laborraum BB02G02","3","BB - Eckbau","Getreidemarkt 9,"
"DCEGD03","Lernraum Altes GZ","70","DA - Freihausgebäude","Wiedner Hauptstraße 8-10,"
"BD01A29","Lernraum BD01A29","12","BD - Hoftrakt","Lehargasse 6, Getreidemarkt, BD 1. Stock"
"DEZE11","Lernraum DEZE11","17","DE - Institutsgebäude","Treitlstraße 3,"
"CD0312","Lernraum Gußhaus CD0312","16","CA - Gußhausstr. 27-29 - Neu El","Gußhausstraße 25-29,"
"AHZE03","Lernraum Karlsplatz AHZE03","20","AA - Hauptgebäude","Karlsplatz 13, Stiege 7, ZE"
"AIEG01A","Luftpavillon","10","AA - Hauptgebäude","Karlsplatz 13,"
"CA0406","Messtechnik Labor","18","CA - Gußhausstr. 27-29 - Neu El","Gußhausstraße 25-29,"
"BF02G10","Ofenraum","7","BF - Institutsgebäude","Getreidemarkt 9,"
"AF0106","PC1","29","AA - Hauptgebäude","Karlsplatz 13,"
"AF0105","PC2","9","AA - Hauptgebäude","Karlsplatz 13,"
"AF0113","PC3","8","AA - Hauptgebäude","Karlsplatz 13,"
"AF0122","PC4","15","AA - Hauptgebäude","Karlsplatz 13,"
"AF0116","PC5","15","AA - Hauptgebäude","Karlsplatz 13,"
